Run,Rod_OD (mm),Rod_Thickness (mm),Buckling Load Factor (Y1),Mass (kg) (Y2)
1,	20,	2,	6.883, 0.266
2	20	3,	8.564,  0.377
3	20	4,	9.698, 0.474
4	25	2,	14.336, 0.34
5	25	3,	18.68,	0.488
6	25	4,	21.494,	0.621
7	30	2,	26.59, 0.414
8	30	3,	33.637, 0.599
9	30	4,	40.658, 0.769
10	35	2,	40.465, 0.488
11	35	3,	57.816, 0.71
12	35	4,	66.518, 0.917
13	40	2,	61.11, 0.562
14	40	3,  90.064, 0.821
15	40	4,	105.548, 1.065
